,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize
703,0,3,0,25.0,0,0,7.7417,1,1
256,1,1,1,28.0,0,0,79.2,2,1
81,1,3,0,29.0,0,0,9.5,0,1
64,0,1,0,28.0,0,0,27.7208,2,1
707,1,1,0,42.0,0,0,26.2875,0,1
219,0,2,0,30.0,0,0,10.5,0,1
455,1,3,0,29.0,0,0,7.8958,2,1
796,1,1,1,49.0,0,0,25.9292,0,1
235,0,3,1,28.0,0,0,7.55,0,1
520,1,1,1,30.0,0,0,93.5,0,1
788,1,3,0,1.0,1,2,20.575,0,4
393,1,1,1,23.0,1,0,113.275,2,2
728,0,2,0,25.0,1,0,26.0,0,2
165,1,3,0,9.0,0,2,20.525,0,3
601,0,3,0,28.0,0,0,7.8958,0,1
508,0,3,0,28.0,0,0,22.525,0,1
257,1,1,1,30.0,0,0,86.5,0,1
398,0,2,0,23.0,0,0,10.5,0,1
500,0,3,0,17.0,0,0,8.6625,0,1
60,0,3,0,22.0,0,0,7.2292,2,1
333,0,3,0,16.0,2,0,18.0,0,3
818,0,3,0,43.0,0,0,6.45,0,1
335,0,3,0,28.0,0,0,7.8958,0,1
281,0,3,0,28.0,0,0,7.8542,0,1
418,0,2,0,30.0,0,0,13.0,0,1
61,1,1,1,38.0,0,0,80.0,0,1
77,0,3,0,28.0,0,0,8.05,0,1
533,1,3,1,28.0,0,2,22.3583,2,3
512,1,1,0,36.0,0,0,26.2875,0,1
192,1,3,1,19.0,1,0,7.8542,0,2
675,0,3,0,18.0,0,0,7.775,0,1
59,0,3,0,11.0,5,2,46.9,0,8
248,1,1,0,37.0,1,1,52.5542,0,3
863,0,3,1,28.0,8,2,69.55,0,11
10,1,3,1,4.0,1,1,16.7,0,3
16,0,3,0,2.0,4,1,29.125,1,6
7,0,3,0,2.0,3,1,21.075,0,5
561,0,3,0,40.0,0,0,7.8958,0,1
342,0,2,0,28.0,0,0,13.0,0,1
768,0,3,0,28.0,1,0,24.15,1,2
673,1,2,0,31.0,0,0,13.0,0,1
240,0,3,1,28.0,1,0,14.4542,2,2
636,0,3,0,32.0,0,0,7.925,0,1
425,0,3,0,28.0,0,0,7.25,0,1
797,1,3,1,31.0,0,0,8.6833,0,1
491,0,3,0,21.0,0,0,7.25,0,1
884,0,3,0,25.0,0,0,7.05,0,1
502,0,3,1,28.0,0,0,7.6292,1,1
819,0,3,0,10.0,3,2,27.9,0,6
74,1,3,0,32.0,0,0,56.4958,0,1
635,1,2,1,28.0,0,0,13.0,0,1
489,1,3,0,9.0,1,1,15.9,0,3
652,0,3,0,21.0,0,0,8.4333,0,1
717,1,2,1,27.0,0,0,10.5,0,1
226,1,2,0,19.0,0,0,10.5,0,1
137,0,1,0,37.0,1,0,53.1,0,2
523,1,1,1,44.0,0,1,57.9792,2,2
774,1,2,1,54.0,1,3,23.0,0,5
55,1,1,0,28.0,0,0,35.5,0,1
121,0,3,0,28.0,0,0,8.05,0,1
19,1,3,1,28.0,0,0,7.225,2,1
106,1,3,1,21.0,0,0,7.65,0,1
556,1,1,1,48.0,1,0,39.6,2,2
453,1,1,0,49.0,1,0,89.1042,2,2
486,1,1,1,35.0,1,0,90.0,0,2
85,1,3,1,33.0,3,0,15.85,0,4
697,1,3,1,28.0,0,0,7.7333,1,1
372,0,3,0,19.0,0,0,8.05,0,1
552,0,3,0,28.0,0,0,7.8292,1,1
742,1,1,1,21.0,2,2,262.375,2,5
825,0,3,0,28.0,0,0,6.95,1,1
373,0,1,0,22.0,0,0,135.6333,2,1
595,0,3,0,36.0,1,1,24.15,0,3
683,0,3,0,14.0,5,2,46.9,0,8
206,0,3,0,32.0,1,0,15.85,0,2
833,0,3,0,23.0,0,0,7.8542,0,1
559,1,3,1,36.0,1,0,17.4,0,2
786,1,3,1,18.0,0,0,7.4958,0,1
33,0,2,0,66.0,0,0,10.5,0,1
585,1,1,1,18.0,0,2,79.65,0,3
671,0,1,0,31.0,1,0,52.0,0,2
15,1,2,1,55.0,0,0,16.0,0,1
188,0,3,0,40.0,1,1,15.5,1,3
754,1,2,1,48.0,1,2,65.0,0,4
693,0,3,0,25.0,0,0,7.225,2,1
469,1,3,1,0.75,2,1,19.2583,2,4
643,1,3,0,28.0,0,0,56.4958,0,1
276,0,3,1,45.0,0,0,7.75,0,1
171,0,3,0,4.0,4,1,29.125,1,6
647,1,1,0,56.0,0,0,35.5,2,1
259,1,2,1,50.0,0,1,26.0,0,2
92,0,1,0,46.0,1,0,61.175,0,2
740,1,1,0,28.0,0,0,30.0,0,1
423,0,3,1,28.0,1,1,14.4,0,3
501,0,3,1,21.0,0,0,7.75,1,1
274,1,3,1,28.0,0,0,7.75,1,1
275,1,1,1,63.0,1,0,77.9583,0,2
710,1,1,1,24.0,0,0,49.5042,2,1
843,0,3,0,34.5,0,0,6.4375,2,1
538,0,3,0,28.0,0,0,14.5,0,1
207,1,3,0,26.0,0,0,18.7875,2,1
1,1,1,1,38.0,1,0,71.2833,2,2
719,0,3,0,33.0,0,0,7.775,0,1
300,1,3,1,28.0,0,0,7.75,1,1
443,1,2,1,28.0,0,0,13.0,0,1
791,0,2,0,16.0,0,0,26.0,0,1
47,1,3,1,28.0,0,0,7.75,1,1
795,0,2,0,39.0,0,0,13.0,0,1
872,0,1,0,33.0,0,0,5.0,0,1
139,0,1,0,24.0,0,0,79.2,2,1
677,1,3,1,18.0,0,0,9.8417,0,1
382,0,3,0,32.0,0,0,7.925,0,1
886,0,2,0,27.0,0,0,13.0,0,1
13,0,3,0,39.0,1,5,31.275,0,7
725,0,3,0,20.0,0,0,8.6625,0,1
191,0,2,0,19.0,0,0,13.0,0,1
369,1,1,1,24.0,0,0,69.3,2,1
877,0,3,0,19.0,0,0,7.8958,0,1
218,1,1,1,32.0,0,0,76.2917,2,1
293,0,3,1,24.0,0,0,8.85,0,1
237,1,2,1,8.0,0,2,26.25,0,3
686,0,3,0,14.0,4,1,39.6875,0,6
269,1,1,1,35.0,0,0,135.6333,0,1
565,0,3,0,24.0,2,0,24.15,0,3
878,0,3,0,28.0,0,0,7.8958,0,1
102,0,1,0,21.0,0,1,77.2875,0,2
630,1,1,0,80.0,0,0,30.0,0,1
794,0,3,0,25.0,0,0,7.8958,0,1
674,0,2,0,28.0,0,0,0.0,0,1
5,0,3,0,28.0,0,0,8.4583,1,1
70,0,2,0,32.0,0,0,10.5,0,1
578,0,3,1,28.0,1,0,14.4583,2,2
517,0,3,0,28.0,0,0,24.15,1,1
308,0,2,0,30.0,1,0,24.0,2,2
701,1,1,0,35.0,0,0,26.2875,0,1
264,0,3,1,28.0,0,0,7.75,1,1
150,0,2,0,51.0,0,0,12.525,0,1
319,1,1,1,40.0,1,1,134.5,2,3
146,1,3,0,27.0,0,0,7.7958,0,1
364,0,3,0,28.0,1,0,15.5,1,2
835,1,1,1,39.0,1,1,83.1583,2,3
852,0,3,1,9.0,1,1,15.2458,2,3
53,1,2,1,29.0,1,0,26.0,0,2
307,1,1,1,17.0,1,0,108.9,2,2
632,1,1,0,32.0,0,0,30.5,2,1
874,1,2,1,28.0,1,0,24.0,2,2
803,1,3,0,0.42,0,1,8.5167,2,2
164,0,3,0,1.0,4,1,39.6875,0,6
558,1,1,1,39.0,1,1,79.65,0,3
56,1,2,1,21.0,0,0,10.5,0,1
862,1,1,1,48.0,0,0,25.9292,0,1
98,1,2,1,34.0,0,1,23.0,0,2
544,0,1,0,50.0,1,0,106.425,2,2
362,0,3,1,45.0,0,1,14.4542,2,2
340,1,2,0,2.0,1,1,26.0,0,3
392,0,3,0,28.0,2,0,7.925,0,3
887,1,1,1,19.0,0,0,30.0,0,1
345,1,2,1,24.0,0,0,13.0,0,1
288,1,2,0,42.0,0,0,13.0,0,1
832,0,3,0,28.0,0,0,7.2292,2,1
348,1,3,0,3.0,1,1,15.9,0,3
291,1,1,1,19.0,1,0,91.0792,2,2
4,0,3,0,35.0,0,0,8.05,0,1
692,1,3,0,28.0,0,0,56.4958,0,1
621,1,1,0,42.0,1,0,52.5542,0,2
815,0,1,0,28.0,0,0,0.0,0,1
446,1,2,1,13.0,0,1,19.5,0,2
752,0,3,0,33.0,0,0,9.5,0,1
84,1,2,1,17.0,0,0,10.5,0,1
365,0,3,0,30.0,0,0,7.25,0,1
251,0,3,1,29.0,1,1,10.4625,0,3
